"PLOT.ID","PANEL","ECO.SITE","EVALUATOR"
"GR-021","2018","","K"
"MMS-071","2018","","R"
"MMS-072","2018","","K"
"MMS-073","2018","","R"
"MMS-074","2018","","K"
"MMS-075","2018","","R"
"OT-111","2018","","K"
"PJ-131","2018","","P"
"PJ-132","2018","","K"
"PJ-133","2018","","K"
"PP-171","2018","","R"
"SS-221","2018","","K"
"SS-222","2018","","P"
"SS-223","2018","","K"
"SS-224","2018","","P"
"SS-225","2018","","K"
"SS-227","2018","","R"
"SS-228","2018","","P"
"SS-229","2018","","P"
"SS-230","2018","","P"
"SS-231","2018","","P"
"SS-232","2018","","K"
"SS-233","2018","","R"
"SS-234","2018","","P"
"SD-323","2018","","R"
"SD-324","2018","","P"
"SD-325","2018","","P"
"SD-326","2018","","R"
"SD-327","2018","","K"
"SD-328","2018","","R"
"SD-330","2018","","R"
"SD-331","2018","","P"
"SD-332","2018","","P"
"SD-333","2018","","K"
"SD-334","2018","","P"
"SD-335","2018","","K"
